Sport,League,Match,Bet Type,Bet,Odds,Edge,Confidence,Stake,Info,Date_Generated,Result,Profit,Score
NFL,NFL,Philadelphia Eagles @ Los Angeles Chargers,Moneyline,Home Win,2.34,0.4624999999999999,0.625,0.0431436567164179,Best: FanDuel,2025-11-27,,,
NBA,NBA,Phoenix Suns @ Sacramento Kings,ARBITRAGE,ALL,0.0,0.0224345658496053,1.0,0.0,Home: BetMGM (23.0) | Away: MyBookie.ag (1.07),2025-11-27,,,
NBA,NBA,San Antonio Spurs @ Portland Trail Blazers,ARBITRAGE,ALL,0.0,0.062992125984252,1.0,0.0,Home: BetMGM (5.0) | Away: MyBookie.ag (1.35),2025-11-27,,,
NBA,NBA,Houston Rockets @ Golden State Warriors,ARBITRAGE,ALL,0.0,0.1321146245059289,1.0,0.0,Home: BetMGM (1.71) | Away: MyBookie.ag (3.35),2025-11-27,,,
Soccer,soccer_spain_la_liga,Getafe vs Elche CF,Moneyline,Home Win,2.25,0.18742137337951892,0.5277428326131195,0.04007297794276026,Best: FanDuel,2025-11-27,,,
Soccer,soccer_spain_la_liga,Mallorca vs CA Osasuna,Moneyline,Home Win,2.4,0.137492996302653,0.4739554151261054,0.027259866957044916,Best: FanDuel,2025-11-27,,,
Soccer,soccer_spain_la_liga,Barcelona vs Alavés,Moneyline,Home Win,1.22,0.07919361634705724,0.8845849314320141,0.09907185807703278,Best: BetOnline.ag,2025-11-27,,,
Soccer,soccer_spain_la_liga,Real Sociedad vs Villarreal,Moneyline,Home Win,2.66,0.19598737882643436,0.4496193153482836,0.03409365392386324,Best: Bovada,2025-11-27,,,
Soccer,soccer_spain_la_liga,Sevilla vs Real Betis,Moneyline,Home Win,3.1,0.1622402354146355,0.3749162049724631,0.021890531275093095,Best: FanDuel,2025-11-27,,,
Soccer,soccer_spain_la_liga,Celta Vigo vs Espanyol,Moneyline,Home Win,2.02,0.07663458120468647,0.5329874164379635,0.02090827809378164,Best: LowVig.ag,2025-11-27,,,
